end_of_interval	qx_avg
1980-01-01 08:00:00	24.54
1980-01-02 08:00:00	24.75
1980-01-03 08:00:00	24.99
1980-01-04 08:00:00	22.31
1980-01-05 08:00:00	23.72
1980-01-06 08:00:00	23.8
1980-01-07 08:00:00	22.11
1980-01-08 08:00:00	22.01
1980-01-09 08:00:00	22.3
1980-01-10 08:00:00	21.41
1980-01-11 08:00:00	19.79
1980-01-12 08:00:00	22.35
1980-01-13 08:00:00	21.9
1980-01-14 08:00:00	20.8
1980-01-15 08:00:00	21.14
1980-01-16 08:00:00	19.94
1980-01-17 08:00:00	24.72
1980-01-18 08:00:00	23.97
1980-01-19 08:00:00	20.38
1980-01-20 08:00:00	19.9
1980-01-21 08:00:00	17.49
1980-01-22 08:00:00	17.54
1980-01-23 08:00:00	17.96
1980-01-24 08:00:00	18.26
1980-01-25 08:00:00	15.59
1980-01-26 08:00:00	15
1980-01-27 08:00:00	14.5
1980-01-28 08:00:00	14.41
1980-01-29 08:00:00	14.99
1980-01-30 08:00:00	13.24
1980-01-31 08:00:00	14.77
1980-02-01 08:00:00	14.62
1980-02-02 08:00:00	13.1
1980-02-03 08:00:00	13.5
1980-02-04 08:00:00	14.23
1980-02-05 08:00:00	12.27
1980-02-06 08:00:00	13.57
1980-02-07 08:00:00	13.99
1980-02-08 08:00:00	14.22
1980-02-09 08:00:00	13.84
1980-02-10 08:00:00	13.7
1980-02-11 08:00:00	15.58
1980-02-12 08:00:00	14.62
1980-02-13 08:00:00	14.48
1980-02-14 08:00:00	14.69
1980-02-15 08:00:00	13.07
1980-02-16 08:00:00	14.56
1980-02-17 08:00:00	14.5
1980-02-18 08:00:00	13.55
1980-02-19 08:00:00	15.59
1980-02-20 08:00:00	13.79
1980-02-21 08:00:00	14.53
1980-02-22 08:00:00	14.35
1980-02-23 08:00:00	12.34
1980-02-24 08:00:00	13
1980-02-25 08:00:00	10.03
1980-02-26 08:00:00	10.67
1980-02-27 08:00:00	10.86
1980-02-28 08:00:00	11.46
1980-02-29 08:00:00	9.533
1980-03-01 08:00:00	10.08
1980-03-02 08:00:00	10
1980-03-03 08:00:00	9.062
1980-03-04 08:00:00	9.666
1980-03-05 08:00:00	8.136
1980-03-06 08:00:00	8.824
1980-03-07 08:00:00	7.864
1980-03-08 08:00:00	7.995
1980-03-09 08:00:00	8.7
1980-03-10 08:00:00	7.468
1980-03-11 08:00:00	7.165
1980-03-12 08:00:00	8.009
1980-03-13 08:00:00	8.154
1980-03-14 08:00:00	7.566
1980-03-15 08:00:00	6.579
1980-03-16 08:00:00	6.6
1980-03-17 08:00:00	7.375
1980-03-18 08:00:00	6.807
1980-03-19 08:00:00	6.597
1980-03-20 08:00:00	6.826
1980-03-21 08:00:00	7.064
1980-03-22 08:00:00	6.871
1980-03-23 08:00:00	6.8
1980-03-24 08:00:00	5.859
1980-03-25 08:00:00	6.147
1980-03-26 08:00:00	6.183
1980-03-27 08:00:00	6.211
1980-03-28 08:00:00	6.265
1980-03-29 08:00:00	6.3
1980-03-30 08:00:00	6.35
1980-03-31 08:00:00	6.423
1980-04-01 08:00:00	6.116
1980-04-02 08:00:00	5.585
1980-04-03 08:00:00	5.548
1980-04-04 08:00:00	6
1980-04-05 08:00:00	5.641
1980-04-06 08:00:00	6.129
1980-04-07 08:00:00	6.616
1980-04-08 08:00:00	6.023
1980-04-09 08:00:00	6.597
1980-04-10 08:00:00	5.763
1980-04-11 08:00:00	5.366
1980-04-12 08:00:00	6.487
1980-04-13 08:00:00	6.4
1980-04-14 08:00:00	5.666
1980-04-15 08:00:00	5.653
1980-04-16 08:00:00	5.882
1980-04-17 08:00:00	5.627
1980-04-18 08:00:00	5.603
1980-04-19 08:00:00	6.302
1980-04-20 08:00:00	6.2
1980-04-21 08:00:00	5.896
1980-04-22 08:00:00	5.157
1980-04-23 08:00:00	4.997
1980-04-24 08:00:00	4.375
1980-04-25 08:00:00	3.309
1980-04-26 08:00:00	3.704
1980-04-27 08:00:00	3.473
